isbn13,isbn10,title,subtitle,authors,thumbnail,description,published_year,average_rating,num_pages,ratings_count,genre_list
9780452276963,0452276969,the mcdougall quick and easy cookbook,over 300 delicious low-fat recipes you can prepare in fifteen minutes or less,"['john a. mcdougall', 'mary mcdougall']",http://books.google.com/books/content?id=OUk4swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The authors of The McDougall Program and The McDougall Program for a Healthy Heart present more than three hundred delicious, easy-to-prepare recipes for wholesome salads, appetizers, main and side dishes, and desserts, all of which are meatless, dairyless, and virtually fat-free. Reprint.",1999.0,3.98,336.0,294.0,['cooking']
9780452278875,0452278872,journals of ayn rand,,"['ayn rand', 'leonard peikoff', 'david harriman']",http://books.google.com/books/content?id=HKivDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The private journals of one of the most influential writers of the twentieth century reveal the progression of Rand's literary and philosophical ideals,1999.0,3.95,752.0,307.0,"['biography', 'autobiography']"
9780452281257,0452281253,anthem,,['ayn rand'],http://books.google.com/books/content?id=Z2s-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a future world where all individuality has been crushed, a man--Equality 7-2521--dares to defy the ideals of collectivism, make personal choices, seek forbidden knowledge, and love the woman he desires.",1999.0,3.63,105.0,106642.0,['fiction']
9780452281325,0452281326,the feeling good handbook,,['david d. burns'],http://books.google.com/books/content?id=akVIQFz0Cx4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Discusses how to overcome fears, phobias, and panic attacks; improve intimate communication, and cope with anxiety disorders, and includes information about commonly prescribed psychiatric drugs",1999.0,4.0,729.0,4666.0,['psychology']
9780452281431,0452281431,beauty's punishment,,"['a. n. roquelaure', 'anne rice']",http://books.google.com/books/content?id=mJHgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Beauty is sold into erotic slavery and forced to obey the orders of the Captain and Mistress Lockley,1984.0,3.62,233.0,21844.0,['fiction']
9780452284555,0452284554,riding the bus with my sister,a true life journey,['rachel simon'],http://books.google.com/books/content?id=ZcVHPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author describes the year she spent riding the buses of her Pennsylvania city with her sister, and how taking part in those journeys allowed her to slow down her life and develop stronger interpersonal connections.",2003.0,3.75,304.0,5020.0,"['biography', 'autobiography']"
9780452285934,0452285933,stolen,,['kelley armstrong'],http://books.google.com/books/content?id=V12ZZ0_kDdgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The only living female werewolf, thirty-year-old Elena Michaels takes on a mission to confront Internet billionaire Tyrone Winsloe, who has been capturing Elena's fellow paranormal brethren, conducting experiments on them, and hunting them to their deaths in a live video game. By the author of Bitten. Reprint.",2004.0,4.15,468.0,36843.0,['fiction']
9780452286535,0452286530,the jane austen book club,,['karen joy fowler'],http://books.google.com/books/content?id=ucmLDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"As six Californians get together to form a book club to discuss the novels of Jane Austen, their lives are turned upside down by troubled marriages, illicit affairs, changing relationships, and love, in a comedy of contemporary manners. By the author of Sarah Canary. Reprint.",2005.0,3.08,288.0,56434.0,['fiction']
9780452287075,0452287073,how the garcía girls lost their accents,,['julia alvarez'],http://books.google.com/books/content?id=EYJGPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Forced to flee their native Caribbean island after an attempted coup, the Garcias--Carlos, Laura, and their four daughters--must learn a new way of life in the Bronx, while trying to cling to the old ways that they loved.",2005.0,3.63,304.0,17234.0,['fiction']
9780452288195,0452288193,war and peace and war,the rise and fall of empires,['peter turchin'],http://books.google.com/books/content?id=cOXJjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Argues that the key to the formation of an empire lies in a society's capacity for collective action, resulting from people banding together to confront a common enemy, and describing how the growth of empires leads to a growing dichotomy between rich and poor, increasing conflict instead of cooperation, and inevitable dissolution. Reprint. 25,000 first printing.",2007.0,4.15,416.0,252.0,['history']
